ad_spend,impressions,clicks,conversions,engagement_score,roi,digital_waste,region,platform,category
4058.13,329278,7152,1413,0.77,2.03,0.39,Europe,LinkedIn,Education
9531.79,161563,3754,1953,0.39,0.95,0.62,Europe,Instagram,Technology
7453.94,666701,7202,688,0.9,1.83,0.86,Asia,Instagram,Healthcare
6187.26,709983,2459,2497,0.18,1.52,0.35,South America,LinkedIn,Retail
1982.18,624615,8205,2990,0.83,1.67,0.65,Europe,Google Ads,Finance
1981.95,403554,8736,16,0.88,0.98,0.35,North America,LinkedIn,Finance
1051.79,212503,6541,2478,0.84,1.4,0.62,Australia,Google Ads,Healthcare
8728.67,153326,5147,1601,0.56,1.92,0.88,Europe,Instagram,Finance
6210.59,717220,8327,842,0.49,0.69,0.23,South America,Google Ads,Retail
7226.69,21344,5303,2616,1.0,1.92,0.4,Asia,YouTube,Retail
695.55,404966,9767,1820,0.31,1.28,0.99,North America,LinkedIn,Finance
9714.14,982260,1898,923,0.59,-0.0,0.87,Asia,YouTube,Finance
8408.21,602245,9700,2021,0.7,-0.43,0.56,Australia,Instagram,Education
2517.22,115423,5391,1452,0.73,0.59,0.52,Europe,LinkedIn,Technology
2227.34,330197,5595,1460,0.28,1.14,0.28,Europe,Instagram,Healthcare
2242.34,474071,6384,1512,0.69,2.02,0.52,South America,YouTube,Retail
3390.3,681256,7385,135,0.84,-0.12,0.85,Europe,Instagram,Healthcare
5485.19,196833,1400,2452,0.15,1.9,0.69,North America,LinkedIn,Education
4603.48,727912,6969,826,0.92,2.09,0.29,Australia,LinkedIn,Retail
3266.68,785435,9535,2938,0.13,-0.05,0.2,Asia,Instagram,Education
6312.6,87454,3197,1839,0.42,2.05,0.27,Australia,LinkedIn,Education
1825.19,267594,4716,585,0.11,2.47,0.17,Europe,LinkedIn,Finance
3275.37,521897,109,2382,0.17,1.68,0.1,Asia,Instagram,Healthcare
3980.44,362744,5852,1425,0.92,1.85,0.42,South America,YouTube,Healthcare
4832.66,919164,9952,939,0.42,2.48,0.11,Australia,LinkedIn,Finance
7959.17,526142,6395,1473,0.48,1.32,0.17,Asia,LinkedIn,Healthcare
2396.9,955439,4915,842,0.29,0.42,0.55,Asia,LinkedIn,Finance
5385.23,47641,1172,1064,0.64,2.01,0.16,Asia,LinkedIn,Retail
6127.94,563999,3325,1658,0.64,1.34,0.06,North America,Instagram,Education
941.28,866774,1416,1910,0.43,1.24,0.32,Australia,YouTube,Education
6271.68,379040,5799,1467,0.4,0.26,0.22,Asia,YouTube,Healthcare
2119.98,677542,6907,2894,0.9,1.77,0.52,Australia,Google Ads,Technology
1117.99,622121,6774,2983,0.44,-0.25,0.1,Asia,LinkedIn,Education
9514.41,328420,3783,1409,0.54,2.27,0.75,South America,LinkedIn,Finance
9673.5,291685,7327,452,0.35,0.48,0.91,South America,Google Ads,Technology
8179.77,890889,3373,2132,0.81,-0.12,0.74,South America,YouTube,Technology
3393.83,485526,7100,566,0.46,0.83,0.53,Europe,Facebook,Education
1427.89,54813,245,1188,0.56,-0.37,0.86,Asia,Facebook,Education
7000.21,702558,5110,2047,0.33,1.55,0.69,Europe,YouTube,Education
4681.45,674180,3140,372,0.99,2.21,0.01,Australia,LinkedIn,Finance
1659.36,296214,9754,2505,0.36,2.01,0.39,Europe,Facebook,Technology
5204.18,997272,9876,1267,0.79,-0.12,0.85,Australia,Instagram,Healthcare
826.69,938626,582,1851,0.48,-0.12,0.35,Australia,Instagram,Finance
9138.54,352703,3279,2319,0.29,1.94,0.04,Australia,Google Ads,Retail
2958.41,214615,1349,1860,0.82,2.27,0.75,Europe,YouTube,Education
6793.96,486657,730,2182,0.4,0.88,0.8,Asia,YouTube,Technology
3461.26,576074,8953,920,0.88,1.0,0.16,Europe,Facebook,Finance
5440.65,760294,2952,254,0.92,0.45,0.54,Asia,LinkedIn,Retail
5693.75,765164,1087,551,0.87,2.18,0.19,Asia,YouTube,Finance
2256.12,409953,7722,2542,0.13,1.43,0.72,Australia,Facebook,Finance
9711.05,832494,7427,2179,0.81,0.36,0.27,Europe,Facebook,Healthcare
7863.76,981741,9838,2182,0.47,0.4,0.32,Asia,YouTube,Healthcare
9425.24,848003,8941,1582,0.89,2.17,0.84,South America,Facebook,Finance
9000.86,297654,9260,2227,0.67,-0.46,0.48,Asia,Google Ads,Retail
6180.05,291570,1200,133,0.85,0.47,0.67,South America,Google Ads,Technology
9257.81,47265,6752,2703,0.55,1.16,0.4,Europe,YouTube,Technology
1340.68,945354,8732,1741,0.58,-0.06,0.3,Europe,LinkedIn,Education
